Fluid,Type,Rho_reduced,Temp_reduced,H_reduced,D_reduced,Ref.
Ethane,C2H6,0.650486435,1.327166052,36.63907162,40.09445696,"Leverant et al., 2023"
Ethane,C2H6,0.685876159,1.238376774,36.63907162,32.13132987,"Leverant et al., 2023"
Ethane,C2H6,0.687041253,1.327166052,36.63907162,36.25964423,"Leverant et al., 2023"
Ethane,C2H6,0.698255281,1.081593601,36.63907162,26.68083851,"Leverant et al., 2023"
Ethane,C2H6,0.718571604,1.172953095,36.63907162,25.68595357,"Leverant et al., 2023"
Ethane,C2H6,0.736412103,1.018740138,36.63907162,22.27579692,"Leverant et al., 2023"
Ethane,C2H6,0.757966338,0.967335819,36.63907162,17.61791097,"Leverant et al., 2023"
Ethane,C2H6,0.760587799,0.942988865,36.63907162,17.57213882,"Leverant et al., 2023"
Ethane,C2H6,0.764155899,1.042105738,36.63907162,18.52717197,"Leverant et al., 2023"
Ethane,C2H6,0.776607839,0.904108507,36.63907162,15.05497219,"Leverant et al., 2023"
Ethane,C2H6,0.807774098,1.018740138,36.63907162,14.44509293,"Leverant et al., 2023"
Ethane,C2H6,0.836974262,0.855180942,36.63907162,9.566743465,"Leverant et al., 2023"
Ethane,C2H6,0.849644657,0.724333585,36.63907162,7.071284887,"Leverant et al., 2023"
Ethane,C2H6,0.854159395,0.789757263,36.63907162,7.759196319,"Leverant et al., 2023"
n-Hexane,C6H14,0.308418107,1.169864917,6.051534153,110.7533409,"Leverant et al., 2023"
n-Hexane,C6H14,0.549441803,1.082552296,6.051534153,42.02941563,"Leverant et al., 2023"
n-Hexane,C6H14,0.600164965,1.030155523,6.051534153,31.79441849,"Leverant et al., 2023"
n-Hexane,C6H14,0.635635708,1.01895393,6.051534153,25.47739467,"Leverant et al., 2023"
n-Hexane,C6H14,0.638828074,0.981760961,6.051534153,24.75442822,"Leverant et al., 2023"
n-Hexane,C6H14,0.745062948,0.812587008,6.051534153,11.58477746,"Leverant et al., 2023"
n-Hexane,C6H14,0.788159901,0.731806732,6.051534153,7.422911841,"Leverant et al., 2023"
n-Hexane,C6H14,0.794721988,0.720306123,6.051534153,7.709325303,"Leverant et al., 2023"
n-Hexane,C6H14,0.800397307,0.708805515,6.051534153,7.738834137,"Leverant et al., 2023"
n-Hexane,C6H14,0.811393237,0.685804297,6.051534153,6.188624832,"Leverant et al., 2023"
n-Hexane,C6H14,0.824517412,0.685804297,6.051534153,5.768017277,"Leverant et al., 2023"
n-Hexane,C6H14,0.835513342,0.765940539,6.051534153,6.368575395,"Leverant et al., 2023"
n-Hexane,C6H14,0.850056347,0.851045043,6.051534153,6.815616466,"Leverant et al., 2023"
n-Hexane,C6H14,0.852007237,0.719938104,6.051534153,5.178409426,"Leverant et al., 2023"
n-Hexane,C6H14,0.86548612,0.570775209,6.051534153,0.001647873,"Leverant et al., 2023"
n-Hexane,C6H14,0.877723526,0.628278253,6.051534153,0.593731977,"Leverant et al., 2023"
n-Hexane,C6H14,0.897232434,0.685781296,6.051534153,0.449743085,"Leverant et al., 2023"
n-Hexane,C6H14,0.308418107,1.169864917,9.077301229,106.9560516,"Leverant et al., 2023"
n-Hexane,C6H14,0.549441803,1.082552296,9.077301229,42.06882592,"Leverant et al., 2023"
n-Hexane,C6H14,0.600164965,1.030155523,9.077301229,33.3873445,"Leverant et al., 2023"
n-Hexane,C6H14,0.635635708,1.01895393,9.077301229,30.40762769,"Leverant et al., 2023"
n-Hexane,C6H14,0.638828074,0.981760961,9.077301229,26.34514996,"Leverant et al., 2023"
n-Hexane,C6H14,0.745062948,0.812587008,9.077301229,12.44005371,"Leverant et al., 2023"
n-Hexane,C6H14,0.788159901,0.731806732,9.077301229,8.74743189,"Leverant et al., 2023"
n-Hexane,C6H14,0.794721988,0.720306123,9.077301229,8.925053744,"Leverant et al., 2023"
n-Hexane,C6H14,0.800397307,0.708805515,9.077301229,7.614221528,"Leverant et al., 2023"
n-Hexane,C6H14,0.811393237,0.685804297,9.077301229,7.078014002,"Leverant et al., 2023"
n-Hexane,C6H14,0.824517412,0.685804297,9.077301229,6.376290355,"Leverant et al., 2023"
n-Hexane,C6H14,0.835513342,0.765940539,9.077301229,6.889655199,"Leverant et al., 2023"
n-Hexane,C6H14,0.850056347,0.851045043,9.077301229,7.836319951,"Leverant et al., 2023"
n-Hexane,C6H14,0.852007237,0.719938104,9.077301229,5.355213566,"Leverant et al., 2023"
n-Hexane,C6H14,0.86548612,0.570775209,9.077301229,1.690536259,"Leverant et al., 2023"
